"Fecha";"Tmax"
2013-05-07;32.4
2013-05-08;30.7
2013-05-09;32.2
2013-05-10;31
2013-05-11;32.2
2013-05-12;32.9
2013-05-13;30.7
2013-05-14;30.8
2013-05-15;20.4
2013-05-16;19.7
2013-05-17;15.6
2013-05-18;20.1
2013-05-19;21.32459904301
2013-05-20;22.1
2013-05-21;22.3
2013-05-22;27.5
2013-05-23;30.8
2013-05-24;29.1
2013-05-25;28.5
2013-05-26;28
2013-05-27;25.8
2013-05-28;24.1
2013-05-29;25.4
2013-05-30;27.4
2013-05-31;30.3
2013-06-01;29.3
2013-06-02;33
2013-06-03;34.1
2013-06-04;35.1
2013-06-05;33.4
2013-06-06;27.5
2013-06-07;25.6
2013-06-08;25.3
2013-06-09;24
2013-06-10;28.6
2013-06-11;33.5
2013-06-12;37.5
2013-06-13;38.7
2013-06-14;38.4
2013-06-15;39.7
2013-06-16;38.8
2013-06-17;27.9
2013-06-18;23.6
2013-06-19;29.1
2013-06-20;32.9
2013-06-21;32.8
2013-06-22;36.8
2013-06-23;38.9
2013-06-24;38.9
2013-06-25;37.7
2013-06-26;38.6
2013-06-27;38.4
2013-06-28;37.1
2013-06-29;36.5
2013-06-30;38.6
2013-07-01;38.7
2013-07-02;36.1
2013-07-03;39.1
2013-07-04;41.1
2013-07-05;40.1
2013-07-06;40
2013-07-07;41.5
2013-07-08;41.4
2013-07-09;42.2
2013-07-10;41
2013-07-11;40.4
2013-07-12;39.8
2013-07-13;35.1
2013-07-14;35.2
2013-07-15;37.8
2013-07-16;38.9
2013-07-17;40.2
2013-07-18;40.5
2013-07-19;40.8
2013-07-20;39.2
2013-07-21;38.4
2013-07-22;39.2
2013-07-23;38.5
2013-07-24;39.6
2013-07-25;40.4
2013-07-26;38
2013-07-27;31.5
2013-07-28;31.3
2013-07-29;35.6
2013-07-30;39.8
2013-07-31;42.2
2013-08-01;42.8
2013-08-02;40.9
2013-08-03;41.5
2013-08-04;42.2
2013-08-05;41.9
2013-08-06;40.4
2013-08-07;37.8
2013-08-08;36.6
2013-08-09;38.2
2013-08-10;41.1
2013-08-11;43
2013-08-12;41.8
2013-08-13;41.7
2013-08-14;41.15
2013-08-15;40.6
2013-08-16;40.3
2013-08-17;40.5
2013-08-18;41.3
2013-08-19;41.8
2013-08-20;43.1
2013-08-21;43.5
2013-08-22;42
2013-08-23;42.3
2013-08-24;40.1
2013-08-25;38.1
2013-08-26;32.7
2013-08-27;35.8
2013-08-28;35.3
2013-08-29;26.2
2013-08-30;30
2013-08-31;33.5
2013-09-01;34.8
2013-09-02;34.7
2013-09-03;34.8
2013-09-04;34.4
2013-09-05;33
2013-09-06;31.9
2013-09-07;29.5
2013-09-08;32.5
2013-09-09;34.8
2013-09-10;34.5
2013-09-11;36.2
2013-09-12;35
2013-09-13;34.7
2013-09-14;32.7
2013-09-15;34.1
2013-09-16;35.6
2013-09-17;31.9
2013-09-18;29.4
2013-09-19;30.9
2013-09-20;34.9
2013-09-21;32.6
2013-09-22;35.5
2013-09-23;35
2013-09-24;34.2607062409717
2013-09-25;33.3
2013-09-26;31.7174747551251
2013-09-27;29.3
2013-09-28;24.1
2013-09-29;24.7
2013-09-30;24.7
2013-10-01;26.6
2013-10-02;31.5
2013-10-03;28.5
2013-10-04;28.4
2013-10-05;30.4
2013-10-06;31.2
2013-10-07;31.2
2013-10-08;30.7
2013-10-09;29.6
2013-10-10;30.4
2013-10-11;30.2
2013-10-12;25.1
2013-10-13;25.6
2013-10-14;27.2
2013-10-15;28.7
2013-10-16;30.7
2013-10-17;29
2013-10-18;28.3
2013-10-19;27
2013-10-20;27.1
2013-10-21;27
2013-10-22;19.7
2013-10-23;23.5
2013-10-24;24.5
2013-10-25;24.9
2013-10-26;22.3
2013-10-27;27.5
2013-10-28;28.3
2013-10-29;22.2
2013-10-30;21.3
2013-10-31;21.9
2013-11-01;23.3
2013-11-02;26.7
2013-11-03;24.1
2013-11-04;17.1
2013-11-05;24
2013-11-06;27
2013-11-07;22.9
2013-11-08;20
2013-11-09;22
2013-11-10;21.6
2013-11-11;24.8
2013-11-12;25
2013-11-13;16.5
2013-11-14;21.9
2013-11-15;18
2013-11-16;15.3
2013-11-17;14.7
2013-11-18;14.6
2013-11-19;15.4
2013-11-20;15.9
2013-11-22;10.2
2013-11-23;14.3
2013-11-24;14.9
2013-11-25;16.1
2013-11-26;16.7
2013-11-27;16.4
2013-11-28;15.6
2013-11-29;16.7
2013-11-30;12.8
2013-12-01;15.3
2013-12-02;16.3
2013-12-03;17.9
2013-12-04;20.3
2013-12-05;20.5
2013-12-06;18.9
2013-12-07;18
2013-12-08;18
2013-12-09;17.5
2013-12-10;18.5
2013-12-11;19
2013-12-12;17
2013-12-13;12.3
2013-12-14;20.2
2013-12-15;18.3
2013-12-16;18.9
2013-12-17;15.3
2013-12-18;13.2
2013-12-19;13.1
2013-12-20;14.3
2013-12-21;16.9
2013-12-22;17.1
2013-12-23;16.9
2013-12-24;15.5
2013-12-25;14.6
2013-12-26;14.1
2013-12-27;12.6
2013-12-28;14.6
2013-12-29;13.9
2013-12-30;12.3
2013-12-31;13.5
2014-01-01;9.9
2014-01-02;14.6
2014-01-03;15.8
2014-01-04;16.5
2014-01-05;13.8
2014-01-06;17.6
2014-01-07;16.8
2014-01-08;17.9
2014-01-09;17.5
2014-01-10;18
2014-01-11;18
2014-01-12;15.3
2014-01-13;13.1
2014-01-14;12.7
2014-01-15;13.2
2014-01-16;12.2
2014-01-17;14.2
2014-01-18;11.6
2014-01-19;11
2014-01-20;12.8
2014-01-21;12
2014-01-22;15.3
2014-01-23;16.2
2014-01-24;15.8
2014-01-25;17
2014-01-26;19.9
2014-01-27;16
2014-01-28;11.8
2014-01-29;11.9
2014-01-30;13.4
2014-01-31;11.1
2014-02-01;16.8
2014-02-02;13.8
2014-02-03;9.6
2014-02-04;11.4
2014-02-05;16
2014-02-06;17.2
2014-02-07;14
2014-02-08;13
2014-02-09;15.2
2014-02-10;12.1
2014-02-11;11.3
2014-02-12;14.9
